case	start_label	x	y	method
replay_demo_show	s0	92	103	pixel>=250:free_centroid
replay_demo_show	s1	52	55	pixel>=250:bbox_q1
replay_demo_show	s2	127	134	pixel>=250:bbox_q3
replay_test_low_efficiency	s0	61	75	pixel>=250:free_centroid
replay_test_low_efficiency	s1	37	41	pixel>=250:bbox_q1
replay_test_low_efficiency	s2	90	102	pixel>=250:bbox_q3
replay_map	s0	196	183	pixel>=250:free_centroid
replay_map	s1	170	157	pixel>=250:bbox_q1
replay_map	s2	223	208	pixel>=250:bbox_q3
replay_zxl_own_house	s0	197	238	pixel>=250:free_centroid
replay_zxl_own_house	s1	107	119	pixel>=250:bbox_q1
replay_zxl_own_house	s2	300	343	pixel>=250:bbox_q3
debug_sh_map	s0	472	759	pixel>=250:free_centroid
debug_sh_map	s1	295	305	pixel>=250:bbox_q1
debug_sh_map	s2	840	890	pixel>=250:bbox_q3
debug_sh_map0	s0	524	791	pixel>=250:free_centroid
debug_sh_map0	s1	297	305	pixel>=250:bbox_q1
debug_sh_map0	s2	839	889	pixel>=250:bbox_q3
debug_sh_home0_map0	s0	524	791	pixel>=250:free_centroid
debug_sh_home0_map0	s1	297	305	pixel>=250:bbox_q1
debug_sh_home0_map0	s2	839	889	pixel>=250:bbox_q3
debug_sh_home0_map1	s0	171	120	pixel>=250:free_centroid
debug_sh_home0_map1	s1	97	72	pixel>=250:bbox_q1
debug_sh_home0_map1	s2	252	175	pixel>=250:bbox_q3
lfin1231000211_backup_map0	s0	89	64	pixel>=250:free_centroid
lfin1231000211_backup_map0	s1	54	40	pixel>=250:bbox_q1
lfin1231000211_backup_map0	s2	125	83	pixel>=250:bbox_q3
live_lfin2230700238_20260611_map0	s0	648	264	pixel>=250:free_centroid
live_lfin2230700238_20260611_map0	s1	481	263	pixel>=250:bbox_q1
live_lfin2230700238_20260611_map0	s2	721	325	pixel>=250:bbox_q3
live_lfin2230700238_20260611_map0	live_start	510	407	planner_log:cov_direction=60
