case	start_label	start_x	start_y	specify_direction	cov_direction	json	log
replay_demo_show	s0	92	103	0	auto	goldens/grid/replay_demo_show/s0/auto.json	goldens/logs/replay_demo_show/s0/auto.stderr
replay_demo_show	s0	92	103	1	0	goldens/grid/replay_demo_show/s0/dir0.json	goldens/logs/replay_demo_show/s0/dir0.stderr
replay_demo_show	s0	92	103	1	45	goldens/grid/replay_demo_show/s0/dir45.json	goldens/logs/replay_demo_show/s0/dir45.stderr
replay_demo_show	s0	92	103	1	90	goldens/grid/replay_demo_show/s0/dir90.json	goldens/logs/replay_demo_show/s0/dir90.stderr
replay_demo_show	s1	52	55	0	auto	goldens/grid/replay_demo_show/s1/auto.json	goldens/logs/replay_demo_show/s1/auto.stderr
replay_demo_show	s1	52	55	1	0	goldens/grid/replay_demo_show/s1/dir0.json	goldens/logs/replay_demo_show/s1/dir0.stderr
replay_demo_show	s1	52	55	1	45	goldens/grid/replay_demo_show/s1/dir45.json	goldens/logs/replay_demo_show/s1/dir45.stderr
replay_demo_show	s1	52	55	1	90	goldens/grid/replay_demo_show/s1/dir90.json	goldens/logs/replay_demo_show/s1/dir90.stderr
replay_test_low_efficiency	s0	61	75	0	auto	goldens/grid/replay_test_low_efficiency/s0/auto.json	goldens/logs/replay_test_low_efficiency/s0/auto.stderr
replay_test_low_efficiency	s0	61	75	1	0	goldens/grid/replay_test_low_efficiency/s0/dir0.json	goldens/logs/replay_test_low_efficiency/s0/dir0.stderr
replay_test_low_efficiency	s0	61	75	1	45	goldens/grid/replay_test_low_efficiency/s0/dir45.json	goldens/logs/replay_test_low_efficiency/s0/dir45.stderr
replay_test_low_efficiency	s0	61	75	1	90	goldens/grid/replay_test_low_efficiency/s0/dir90.json	goldens/logs/replay_test_low_efficiency/s0/dir90.stderr
replay_test_low_efficiency	s1	37	41	0	auto	goldens/grid/replay_test_low_efficiency/s1/auto.json	goldens/logs/replay_test_low_efficiency/s1/auto.stderr
replay_test_low_efficiency	s1	37	41	1	0	goldens/grid/replay_test_low_efficiency/s1/dir0.json	goldens/logs/replay_test_low_efficiency/s1/dir0.stderr
replay_test_low_efficiency	s1	37	41	1	45	goldens/grid/replay_test_low_efficiency/s1/dir45.json	goldens/logs/replay_test_low_efficiency/s1/dir45.stderr
replay_test_low_efficiency	s1	37	41	1	90	goldens/grid/replay_test_low_efficiency/s1/dir90.json	goldens/logs/replay_test_low_efficiency/s1/dir90.stderr
debug_sh_home0_map1	s0	171	120	0	auto	goldens/grid/debug_sh_home0_map1/s0/auto.json	goldens/logs/debug_sh_home0_map1/s0/auto.stderr
debug_sh_home0_map1	s0	171	120	1	0	goldens/grid/debug_sh_home0_map1/s0/dir0.json	goldens/logs/debug_sh_home0_map1/s0/dir0.stderr
debug_sh_home0_map1	s0	171	120	1	45	goldens/grid/debug_sh_home0_map1/s0/dir45.json	goldens/logs/debug_sh_home0_map1/s0/dir45.stderr
debug_sh_home0_map1	s0	171	120	1	90	goldens/grid/debug_sh_home0_map1/s0/dir90.json	goldens/logs/debug_sh_home0_map1/s0/dir90.stderr
debug_sh_home0_map1	s1	97	72	0	auto	goldens/grid/debug_sh_home0_map1/s1/auto.json	goldens/logs/debug_sh_home0_map1/s1/auto.stderr
debug_sh_home0_map1	s1	97	72	1	0	goldens/grid/debug_sh_home0_map1/s1/dir0.json	goldens/logs/debug_sh_home0_map1/s1/dir0.stderr
debug_sh_home0_map1	s1	97	72	1	45	goldens/grid/debug_sh_home0_map1/s1/dir45.json	goldens/logs/debug_sh_home0_map1/s1/dir45.stderr
debug_sh_home0_map1	s1	97	72	1	90	goldens/grid/debug_sh_home0_map1/s1/dir90.json	goldens/logs/debug_sh_home0_map1/s1/dir90.stderr
lfin1231000211_backup_map0	s0	89	64	0	auto	goldens/grid/lfin1231000211_backup_map0/s0/auto.json	goldens/logs/lfin1231000211_backup_map0/s0/auto.stderr
lfin1231000211_backup_map0	s0	89	64	1	0	goldens/grid/lfin1231000211_backup_map0/s0/dir0.json	goldens/logs/lfin1231000211_backup_map0/s0/dir0.stderr
lfin1231000211_backup_map0	s0	89	64	1	45	goldens/grid/lfin1231000211_backup_map0/s0/dir45.json	goldens/logs/lfin1231000211_backup_map0/s0/dir45.stderr
lfin1231000211_backup_map0	s0	89	64	1	90	goldens/grid/lfin1231000211_backup_map0/s0/dir90.json	goldens/logs/lfin1231000211_backup_map0/s0/dir90.stderr
lfin1231000211_backup_map0	s1	54	40	0	auto	goldens/grid/lfin1231000211_backup_map0/s1/auto.json	goldens/logs/lfin1231000211_backup_map0/s1/auto.stderr
lfin1231000211_backup_map0	s1	54	40	1	0	goldens/grid/lfin1231000211_backup_map0/s1/dir0.json	goldens/logs/lfin1231000211_backup_map0/s1/dir0.stderr
lfin1231000211_backup_map0	s1	54	40	1	45	goldens/grid/lfin1231000211_backup_map0/s1/dir45.json	goldens/logs/lfin1231000211_backup_map0/s1/dir45.stderr
lfin1231000211_backup_map0	s1	54	40	1	90	goldens/grid/lfin1231000211_backup_map0/s1/dir90.json	goldens/logs/lfin1231000211_backup_map0/s1/dir90.stderr
